"ballot_position","candidate_code","candidate_name_dari","candidate_gender","past_winners","withdrawn"
1,"1038-4-12","رحمت الله نبيل","M","NO","NO"
2,"1044-6-3","سيد نورالله جليلی","M","NO","NO"
3,"1012-32-7","دکتور فرامرز تمنا","M","NO","NO"
4,"1015-27-17","شيدا محمد ابدالی","M","NO","NO"
5,"1035-8-11","احمد ولی مسعود","M","NO","NO"
6,"1025-5-16","نور رحمان لٻوال","M","NO","NO"
7,"1033-4-8","محمد شهاب حکيمی","M","NO","NO"
8,"1055-5-15","محمد اشرف غنی","M","YES","NO"
9,"1052-1-14","دکتور عبدالله عبدالله","M","NO","NO"
10,"1037-1-2","محمد حکيم تورسن","M","NO","NO"
11,"1042-19-10","گلبدين حکمتيار","M","NO","NO"
12,"1002-17-1","عبداللطيف پدرام","M","NO","NO"
13,"2021-1-6","نورالحق علومی","M","NO","NO"
14,"1003-27-13","حاجی محمد ابراهيم الکوزی","M","NO","NO"
15,"1007-2-18","پوهاند پروفيسور دوکتور غلام فاروق نجرابی","M","NO","NO"
16,"1029-4-4","عنايت الله حفيظ","M","NO","NO"
17,"1058-7-9","محمد حنيف اتمر","M","NO","YES"
18,"1004-1-5","داکتر زلمی رسول","M","NO","YES"
