province_code,province_name_eng,district_code,district_name_eng,district_name_dari,district_sub_code,district_or_subdivision_name_eng,district_or_subdivision_name_dari,provincial_capital
1,KABUL,101,KABUL CITY,كابل,0101-01,KABUL CITY NAHIA 01,كابل ناحیه 01,YES
1,KABUL,101,KABUL CITY,كابل,0101-02,KABUL CITY NAHIA 02,كابل ناحیه 02,YES
1,KABUL,101,KABUL CITY,كابل,0101-03,KABUL CITY NAHIA 03,كابل ناحیه 03,YES
1,KABUL,101,KABUL CITY,كابل,0101-04,KABUL CITY NAHIA 04,كابل ناحیه 04,YES
1,KABUL,101,KABUL CITY,كابل,0101-05,KABUL CITY NAHIA 05,كابل ناحیه 05,YES
1,KABUL,101,KABUL CITY,كابل,0101-06,KABUL CITY NAHIA 06,كابل ناحیه 06,YES
1,KABUL,101,KABUL CITY,كابل,0101-07,KABUL CITY NAHIA 07,كابل ناحیه 07,YES
1,KABUL,101,KABUL CITY,كابل,0101-08,KABUL CITY NAHIA 08,كابل ناحیه 08,YES
1,KABUL,101,KABUL CITY,كابل,0101-09,KABUL CITY NAHIA 09,كابل ناحیه 09,YES
1,KABUL,101,KABUL CITY,كابل,0101-10,KABUL CITY NAHIA 10,كابل ناحیه 10,YES
1,KABUL,101,KABUL CITY,كابل,0101-11,KABUL CITY NAHIA 11,كابل ناحیه 11,YES
1,KABUL,101,KABUL CITY,كابل,0101-12,KABUL CITY NAHIA 12,كابل ناحیه 12,YES
1,KABUL,101,KABUL CITY,كابل,0101-13,KABUL CITY NAHIA 13,كابل ناحیه 13,YES
1,KABUL,101,KABUL CITY,كابل,0101-14,KABUL CITY NAHIA 14,كابل ناحیه 14,YES
1,KABUL,101,KABUL CITY,كابل,0101-15,KABUL CITY NAHIA 15,كابل ناحیه 15,YES
1,KABUL,101,KABUL CITY,كابل,0101-16,KABUL CITY NAHIA 16,كابل ناحیه 16,YES
1,KABUL,101,KABUL CITY,كابل,0101-17,KABUL CITY NAHIA 17,كابل ناحیه 17,YES
1,KABUL,101,KABUL CITY,كابل,0101-18,KABUL CITY NAHIA 18,كابل ناحیه 18,YES
1,KABUL,101,KABUL CITY,كابل,0101-19,KABUL CITY NAHIA 19,كابل ناحیه 19,YES
1,KABUL,101,KABUL CITY,كابل,0101-21,KABUL CITY NAHIA 21,كابل ناحیه 21,YES
1,KABUL,101,KABUL CITY,كابل,0101-22,KABUL CITY NAHIA 22,كابل ناحیه 22,YES
1,KABUL,102,PAGHMAN,پغمان,102,PAGHMAN,پغمان,NO
1,KABUL,103,CHAHARASYAB,چهار آسیاب,103,CHAHARASYAB,چهار آسیاب,NO
1,KABUL,104,BAGRAMI,بگرامی,104,BAGRAMI,بگرامی,NO
1,KABUL,105,DEHSABZ,ده سبز,105,DEHSABZ,ده سبز,NO
1,KABUL,106,SHAKARDARA,شکردره,106,SHAKARDARA,شکردره,NO
1,KABUL,107,MOSAHI,موسهی,107,MOSAHI,موسهی,NO
1,KABUL,108,MIRBACHAKOT,میر بچه کوت,108,MIRBACHAKOT,میر بچه کوت,NO
1,KABUL,109,KHAKEJABAR,خاک جبار,109,KHAKEJABAR,خاک جبار,NO
1,KABUL,110,KALAKAN,کلکان,110,KALAKAN,کلکان,NO
1,KABUL,111,GULDARA,گلدره,111,GULDARA,گلدره,NO
1,KABUL,112,FARZA,فرزه,112,FARZA,فرزه,NO
1,KABUL,113,ISTALIF,استالف,113,ISTALIF,استالف,NO
1,KABUL,114,QARABAGH,قره باغ,114,QARABAGH,قره باغ,NO
1,KABUL,115,SUROBI,سروبی,115,SUROBI,سروبی,NO
2,KAPISA,201,MAHMODRAQI,محمود راقی,201,MAHMODRAQI,محمود راقی,YES
2,KAPISA,202,HISSA-E-DUWUMI KOHISTAN,حصه دوم کوهستان,202,HISSA-E-DUWUMI KOHISTAN,حصه دوم کوهستان,NO
