"election_date","results_date","election_type","results_status","province_code","province_name_eng","province_name_dari","candidate_code","ballot_position","candidate_name_eng","candidate_name_dari","candidate_gender","party_name_dari","past_winner","final_winner","male_ps_votes","fem_ps_votes","kuchi_ps_votes","votes"
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",1095147,1,"Haji Rahim Jan Shinzad","الحاج رحیم جان شیرزاد فی سبیل الله","M","مستقل","NO","NO",181,70,7,258
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",6359413,3,"Mohammad Sarwar Ahmadzai","محمد سرور احمدزی","M","مستقل","NO","NO",489,222,33,744
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",4657143,4,"Eng. Moin-ul-din Ulfati","انجنیر معین الدین الفتی","M","مستقل","NO","NO",286,127,2,415
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",6350379,5,"Dr. Habib Mangal","داکتر حبیب منگل","M","حزب نھضت فراگير دموکراسی وترقی افغانستان","NO","NO",1328,496,5,1829
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",7822442,6,"Zabih-U-llah Ghazi Noristani","ذبیح الله غازی نورستانی","M","مستقل","NO","NO",112,97,0,209
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",7770491,7,"Sayed Jalal Karim","سید جلال کریم","M","مستقل","NO","NO",1276,520,53,1849
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",6359075,8,"Mirwais Yasini","میرویس یاسینی","M","مستقل","NO","NO",965,469,27,1461
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",3907996,9,"Bismillah Shir","بسم الله شیر","M","مستقل","NO","NO",93,41,1,135
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",2287256,10,"Bashir Ahmad Bizhan","بشیر احمد بیژن","M","مستقل","NO","NO",123,46,1,170
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",8894180,11,"Motasim Billah Mazhabi","معتصم بالله مذهبی","M","مستقل","NO","NO",915,342,13,1270
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",6359797,12,"Ashraf Ghani Ahmadzai","اشرف غنی احمدزی","M","مستقل","NO","NO",14218,4833,519,19570
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",860263,13,"Abdul Latif Pedram","عبداللطیف پدرام","M","حزب کنگره ملی افغانستان","NO","NO",720,195,5,920
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",3010205,14,"Shahnawaz Tanai","شهنواز تڼی","M","د افغانستان د سولی غورځنګ ګوند","NO","NO",1847,555,24,2426
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",6189430,16,"Mulla Abdul Salam Rakity","ملا عبد السلام راکتی","M","مستقل","NO","NO",973,241,18,1232
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",6350715,17,"Zia-ul-haq Hafizi","ضیا الحق حافظی","M","مستقل","NO","NO",272,53,0,325
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",6189294,18,"Mohammad Akbar Oria","محمد اکبر اوریا","M","مستقل","NO","NO",105,51,6,162
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",977770,20,"Sangin Mohammad Rahmani","سنگین محمد رحمانی","M","مستقل","NO","NO",32,27,0,59
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",3010270,21,"Mahbob-U-lah Koshani","محبوب الله کوشانی","M","حزب آزادگان افغانستان","NO","NO",154,56,1,211
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",3788581,23,"Abdul Hasib Arian","عبدالحسیب آرین","M","مستقل","NO","NO",300,38,1,339
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",6178408,24,"Mulla Ghulam Mohammad Rigi","ملا غلام محمد ریگی","M","مستقل","NO","NO",104,32,2,138
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",997138,25,"Ramazan Bashardost","رمضان بشردوست","M","مستقل","NO","NO",38873,14884,169,53926
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",12223481,27,"Abdul Majid Samim","عبدالمجید صمیم","M","مستقل","NO","NO",37,20,4,61
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",6370916,30,"Mrs. Shahla Ata","شهلا عطا","F","مستقل","NO","NO",261,125,70,456
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",6358651,31,"Dr. Ghulam Faroq Nijrabi","پروفیسور دوکتور غلام فاروق نجرابی","M","حزب استقلال افغانستان","NO","NO",275,70,17,362
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",7263746,32,"Alhaj Abdul Ghafor Zori","الحاج عبد الغفور زوری","M","مستقل","NO","NO",45,29,1,75
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",6155279,33,"Mohammad Hashim Tawfiqi","محمد هاشم توفیقی","M","مستقل","NO","NO",120,81,3,204
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",983418,35,"Hamed Karzai","حامد کرزی","M","مستقل","YES","YES",138895,58196,4879,201970
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",1004871,37,"Dr. Abdullah Abdullah","داکتر عبد الله عبدالله","M","مستقل","NO","NO",93264,29414,569,123247
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",6371180,38,"Dr. Frozan Fana","داکتر فروزان فنا","F","مستقل","NO","NO",578,211,14,803
