"pc_code","ps_code","ps_type","prelim_first_round_results_reporting","final_first_round_results_reporting","prelim_run_off_results_reporting","final_run_off_results_reporting","post_audit_status","results_barcode"
"0101001","0101001-01","M","YES","YES","YES","YES","Validated","R17435"
"0101001","0101001-02","M","YES","YES","YES","YES","Recounted","12075"
"0101001","0101001-03","M","YES","YES","YES","YES","Validated","R17438"
"0101001","0101001-04","F","YES","YES","YES","YES","Validated","R17436"
"0101001","0101001-05","F","YES","YES","YES","YES","Validated","R17425"
"0101002","0101002-01","M","YES","YES","YES","YES","Validated","R17446"
"0101002","0101002-02","M","YES","YES","YES","YES","Validated","R17459"
"0101002","0101002-03","M","YES","YES","YES","YES","Validated","R17471"
"0101002","0101002-04","F","YES","YES","YES","YES","Validated","R17458"
"0101002","0101002-05","F","YES","YES","YES","YES","Validated","R17447"
"0101003","0101003-01","M","YES","YES","YES","YES","Validated","R17467"
"0101003","0101003-02","M","YES","YES","YES","YES","Recounted","28347"
"0101003","0101003-03","F","YES","YES","YES","YES","Validated","R17427"
"0101004","0101004-01","M","YES","YES","YES","YES","Validated","R17472"
"0101004","0101004-02","M","YES","YES","YES","YES","Validated","R17433"
"0101004","0101004-03","M","YES","YES","YES","YES","Validated","R17465"
"0101004","0101004-04","F","YES","YES","YES","YES","Recounted","14350"
"0101004","0101004-05","F","YES","YES","YES","YES","Validated","R17462"
"0101005","0101005-01","M","YES","YES","YES","YES","Validated","R17434"
"0101005","0101005-02","M","YES","YES","YES","YES","Validated","R17429"
"0101005","0101005-03","F","YES","YES","YES","YES","Validated","R17461"
"0101005","0101005-04","F","YES","YES","YES","YES","Validated","R17430"
"0101006","0101006-01","M","YES","YES","YES","YES","Validated","R17428"
"0101006","0101006-02","M","YES","YES","YES","YES","Validated","R17464"
"0101006","0101006-03","M","YES","YES","YES","YES","Recounted","11164"
"0101006","0101006-04","F","YES","YES","YES","YES","Validated","R17466"
"0101006","0101006-05","F","YES","YES","YES","YES","Validated","R17431"
"0101007","0101007-01","M","YES","YES","YES","YES","Validated","R17481"
"0101007","0101007-02","M","YES","YES","YES","YES","Validated","R17457"
"0101007","0101007-03","M","YES","YES","YES","YES","Validated","R17482"
"0101007","0101007-04","F","YES","YES","YES","YES","Validated","R17480"
"0101007","0101007-05","F","YES","YES","YES","YES","Validated","R17442"
"0101008","0101008-01","M","YES","YES","YES","YES","Validated","R17441"
"0101008","0101008-02","M","YES","YES","YES","YES","Validated","R17449"
"0101008","0101008-03","M","YES","YES","YES","YES","Validated","R17453"
