"province_code","province_name_eng","vr_total_final_19","vr_total_prelim_19","vr_total_final_18","vr_2019_net_change","vr_2019_pct_change","vr_2018_2019_net_change","vr_2018_2019_pct_change"
"01","KABUL",1696341,1632197,1635850,64144,0.0392991777340603,60491,0.036978329308922
"02","KAPISA",160818,156640,156876,4178,0.0266726251276813,3942,0.0251281266732961
"03","PARWAN",218935,213856,213678,5079,0.0237496259165046,5257,0.024602439184193
"04","MAYDANWARDAK",162244,142095,145035,20149,0.141799500334283,17209,0.118654117971524
"05","LOGAR",107559,101157,101770,6402,0.0632877606097453,5789,0.0568831679276801
"06","NANGARHAR",856243,807362,807480,48881,0.0605440929843119,48763,0.0603891118046267
"07","LAGHMAN",173286,161557,161668,11729,0.0725997635509449,11618,0.071863324838558
"08","PANJSHIR",77305,73438,73766,3867,0.0526566627631471,3539,0.0479760323184123
"09","BAGHLAN",437008,412341,414584,24667,0.0598218464814316,22424,0.0540879532254019
"10","BAMYAN",171475,167320,167303,4155,0.024832655988525,4172,0.0249367913306994
"11","GHAZNI",235213,0,0,235213,Inf,235213,Inf
"12","PAKTIKA",235727,207051,207515,28676,0.138497278448305,28212,0.135951617955329
"13","PAKTYA",400809,383665,385153,17144,0.0446848161807827,15656,0.0406487811337313
"14","KHOST",258116,234000,234582,24116,0.103059829059829,23534,0.100323127946731
"15","KUNARHA",190880,169641,169647,21239,0.125199686396567,21233,0.12515989083214
"16","NOORESTAN",91068,67068,67093,24000,0.357845768473788,23975,0.357339811902881
"17","BADAKHSHAN",325327,295795,296029,29532,0.0998394158116263,29298,0.098970033341328
"18","TAKHAR",316568,289178,289197,27390,0.0947167488536472,27371,0.0946448268827132
"19","KUNDUZ",192546,169802,169800,22744,0.133944240939447,22746,0.133957597173145
"20","SAMANGAN",141504,134207,135378,7297,0.05437123249905,6126,0.0452510747684262
"21","BALKH",471967,447815,447818,24152,0.0539329857195494,24149,0.0539259252642815
"22","SARE PUL",140948,135600,135620,5348,0.0394395280235988,5328,0.0392862409674089
"23","GHOR",250233,238975,238848,11258,0.0471095302855947,11385,0.0476662982315113
"24","DAYKUNDI",173158,166942,167404,6216,0.0372344886247918,5754,0.0343719385438819
"25","URUZGAN",63645,56325,56329,7320,0.129960053262317,7316,0.129879813240072
"26","ZABUL",66489,64723,64742,1766,0.0272855090153423,1747,0.0269840289147694
"27","KANDAHAR",558567,522984,523539,35583,0.068038410352898,35028,0.0669061903697719
"28","JAWZJAN",103386,95154,95100,8232,0.0865123904407592,8286,0.0871293375394322
"29","FARYAB",220210,189566,189605,30644,0.161653461063693,30605,0.161414519659292
"30","HELMAND",332166,306378,306489,25788,0.0841705344378513,25677,0.0837778843612658
"31","BADGHIS",101371,94307,87615,7064,0.0749043019075997,13756,0.157005079038977
"32","HERAT",574055,539141,541886,34914,0.0647585696506109,32169,0.0593648848650823
"33","FARAH",68638,65825,63153,2813,0.042734523357387,5485,0.0868525644070749
"34","NIMROZ",91940,92603,92599,-663,-0.00715959526149261,-659,-0.00711670752383935
